Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
"Camptothecin","1003","TOP1","DNA replication","TP53_mut","10","5",".46347937947631573","-.67857285073501616","-1.4375262395269481","","",".27289610617407822",".75895338879193197","1.9336612036240508",".54941168985977673",".41275034791392995","","","61.912552187089489","LIHC","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLIHC7","4","11",".77722698959345915","-.032206437724206616","-1.2585939958261887","","",".34038540240645249","1.2263875581019821","2.1084370961917913","1.3795117238962091",".20601231089387786","","","61.803693268163364","LIHC","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLIHC10","3","12",".080605119120214272","-1.0399549335091312","-.90445790870479248","","",".9322145622369038","-.13549702480433867","2.3742062215205735","1.5213954359668034",".90253448848702311","","","90.253448848702305","LIHC","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","TP53_mut","10","4",".49636244601424412","-2.5754866959531482","-3.3240844238702243","","",".516178971661158",".74859772791707613","1.3343487281130992","1.938251196343902",".41786676020190028","","","83.573352040380058","LIHC","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLIHC7","4","10",".03881920806411053","-2.8323915979138259","-2.7721638263357073","","",".95660513035419759","-.060227771578118539","1.8901538212740545","1.4207807803504049",".94876369259776239","","","94.87636925977624","LIHC","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","TP53_mut","10","4",".030524234774056545","4.3731636158602774","4.3406973491129133","","",".95473475626605198",".032466266747364081","1.1267652673939583",".84638788911208851",".95970003044515362","","","95.970003044515366","LIHC","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLIHC7","4","10",".43966826221020877","4.6905217174834659","4.2332338685120572","","",".47507602758582035",".45728784897140873",".9967694590144609","1.0541145445241644",".47167553173232668","","","94.335106346465338","LIHC","GDSC2"
"Cytarabine","1006","Antimetabolite","Other","TP53_mut","10","4","1.7239754604962438","3.671743847002098","1.7860957240601887","","",".069561289078114208","1.8856481229419093",".9578359806040595","1.4258543201828626",".012983021855590318","","","0","LIHC","GDSC2"
"Cytarabine","1006","Antimetabolite","Other","cnaLIHC7","4","10",".61175698585804661","3.7314589080024918","2.893598573425177","","",".35649023045648465",".83786033457731479","1.4234448432348452","1.3511704804801921",".3214992928350322","","","0","LIHC","GDSC2"
"Docetaxel","1007","Microtubule stabiliser","Mitosis","TP53_mut","10","5",".37250847791098379","-3.1414695098573482","-3.6642493455361076","","",".49117081051233735",".52277983567875941","1.4619795951691874","1.2617044112021125",".50836956584764303","","","0","LIHC","GDSC2"
"Docetaxel","1007","Microtubule stabiliser","Mitosis","cnaLIHC7","4","11",".33956114193031056","-2.9646408794767787","-3.4433980280315364","","",".71457303540037187",".47875714855475771","2.3345303847183501",".97430005427509037",".57080648393092437","","","0","LIHC","GDSC2"
"Docetaxel","1007","Microtubule stabiliser","Mitosis","cnaLIHC10","3","12",".44498974237053729","-2.8163646115609899","-3.4405706659642536","","",".73877951734784253",".62420605440326371","2.8060989357658266",".94539769504948457",".5027071766939637","","","0","LIHC","GDSC2"
"Methotrexate","1008","Antimetabolite","DNA replication","TP53_mut","9","5",".059997480911454217",".61561774675263181",".73882272766906232","","",".92606995735823039","-.12320498091643051","1.768545823840338","2.5288554101467446",".91611744852039723","","","91.61174485203972","LIHC","GDSC2"
"Methotrexate","1008","Antimetabolite","DNA replication","cnaLIHC7","3","11",".92835591644090609","2.0454892031356264",".28165506815564706","","",".030847615626598764","1.7638341349799793",".61726140318066047","2.0629083480322081",".17955792550769314","","","35.911585101538627","LIHC","GDSC2"
"Gefitinib","1010","EGFR","EGFR signaling","TP53_mut","10","5","1.146538561141591","4.1901731352746188","3.4736485161277799","","",".16761730556244794",".71652461914683885",".41244534705329078",".94157396000041704",".056496861068478302","","","8.4745291602717465","LIHC","GDSC2"
"Gefitinib","1010","EGFR","EGFR signaling","cnaLIHC7","4","11",".0029106612331023969","3.9497891449502225","3.9518924866894722","","",".99538908227079637","-.0021033417392497533",".53064403419268114",".77096321247466681",".99609818335817202","","","99.609818335817195","LIHC","GDSC2"
"Gefitinib","1010","EGFR","EGFR signaling","cnaLIHC10","3","12","1.9349394050079869","3.0911726903023613","4.1663713218731662","","",".16074949315353354","-1.0751986315708049",".87945878860326943",".47359211879856422",".010286355853853776","","","3.0859067561561329","LIHC","GDSC2"
